0,project_id,cost,category,votes,name,target,selected
1,1742,380000,"environmental protection,public space,urban greenery",1078,Więcej zieleni na Pradze vol.2,"children,seniors,families with children",1
2,2061,13000,"environmental protection,public space,urban greenery",1012,Ratujmy praskie kasztanowce - kontynuacja,"children,adults,seniors",1
3,2360,34500,environmental protection,855,"Chrońmy ginące praskie jaskółki i inne ptaki, zajmujące skrzynki lęgowe",animals,1
4,1738,172500,"environmental protection,public space,urban greenery",791,Zielone skwery sąsiedzkie,"children,seniors,families with children",1
5,97,111000,"education,public space,health",727,Doposażenie placu zabaw w Parku Praskim w urządzenia przystosowane dla dzieci z niepełnosprawnością,"children,people with disabilities,families with children",1
6,1898,26000,"environmental protection,public space,urban greenery",716,Modernizacja zieleni przy Rondzie Starzyńskiego.,"children,youth,adults",1
7,2383,24000,"education,environmental protection,health",710,Praga bez śmieci - kampania na rzecz bezodpadowej Pragi,"children,adults,seniors",1
8,2051,5700,"education,environmental protection,public space",686,Jak i czym - kampania dotycząca dokarmiania ptaków zimą - kontynuacja,"children,families with children,animals",1
9,703,6800,"education,culture,welfare",647,Widzieć przez dotyk. Zobaczyć i zrozumieć,"children,youth,people with disabilities",1
10,1743,196900,"public transit and roads,public space,health",588,Praskie ławki i stojaki rowerowe,"youth,seniors,people with disabilities",1
11,2201,36480,sport,532,Dobra Droga - aktywizacja młodzieży poprzez sport,"children,youth,families with children",0
12,1547,113000,"public transit and roads,sport,health",508,Wiaty rowerowe i samoobsługowe stacje do naprawy rowerów przy szkołach na Pradze-Północ,"children,youth,adults",0
13,416,50000,"education,culture",506,Kulturalna Praga :),"children,adults,families with children",0
14,1704,72000,"education,culture,public space",499,Mobilne kino plenerowe,"children,seniors,families with children",0
15,1713,80000,"public space,sport,health",452,W zdrowym ciele - praskie siłownie plenerowe,"children,seniors,families with children",0
16,2424,85000,"education,sport",448,Samoobrona dla kobiet,"youth,adults",0
17,1777,120000,"public space,health",443,Przysiadaki dla Pragi,"seniors,people with disabilities",0
18,1699,17800,"sport,health",416,Ogród Jordanowski dla najmłodszych - nauka tańca dla dzieci,"children,families with children",1
19,971,30000,"sport,health",405,Wzmocnij kręgosłup - gimnastyka rehabilitacyjna w wodzie - dla zapracowanych,"adults,seniors",0
20,1009,44078,"education,welfare",377,Warsztaty z alternatywnych metod komunikacji dla osób niepełnosprawnych ze znacznie ograniczonymi możliwościami porozumiewania się,people with disabilities,0
21,1708,87000,"education,culture,public space",370,Roztańczona Praga - praskie potańcówki,"children,seniors,families with children",0
22,1749,75000,"education,public space",362,Dobrze poinformowana Praga - słupy ogłoszeniowe i tablice MSI,"children,seniors,families with children",0
23,979,30000,"sport,health",348,Praskie soboty na basenie - aqua aerobic,"youth,adults,seniors",0
24,1496,23000,"sport,health",339,Mama i ja- gimnastyka korekcyjna dla dzieci i dorosłych,"children,adults,families with children",0
25,1818,81000,culture,282,Praski Festiwal Bluesa,"youth,adults,seniors",0
26,1320,177300,"culture,sport,health",258,Sala do treningu boksu i samoobrony,"children,youth,adults",0
27,509,60200,education,228,"Trening słuchowy, wzrokowy i motoryczny metodą Warnke dla dzieci i młodzieży","children,youth",0
28,1447,50280,"sport,health",190,Pływaj kajakiem na Pradze - nauka pływania kajakiem - na basenie!,"children,youth,adults",0
