0,project_id,cost,category,votes,name,target,selected
1,1120,288728,"education,culture,environmental protection",2229,Butelkomaty dla Ochoty - akcja edukacyjno-promocyjna,"children,youth,adults,seniors,people with disabilities",1
2,1225,7000,"education,environmental protection,public space",1744,Ratujmy ochockie aleje kasztanowe przed szrotówkiem kasztanowcowiaczkiem,"children,youth,adults,seniors,people with disabilities",1
3,182,101000,urban greenery,1743,Montaż latarni w nieoświetlonych alejkach Parku Szczęśliwickiego,"children,youth,adults",1
4,1280,29470,"education,environmental protection,public space",1656,Dbajmy o zieleń na Ochocie,"children,youth,adults,seniors,people with disabilities",1
5,468,150000,culture,1592,Zakup nowych zbiorów do bibliotek ochockich,"children,youth,adults,seniors,people with disabilities",1
6,939,60000,"public space,sport",1557,Mural Kazimierza Deyny,"children,youth,adults,seniors,people with disabilities",1
7,1110,10000,environmental protection,1412,"Naturalny, przyjazny przyrodzie trawnik w parku Szczęśliwice",adults,1
8,1909,57000,public space,1398,Strefa relaksu w Parku Szczęśliwickim,"children,youth,adults,seniors,people with disabilities",1
9,172,120000,"public transit and roads,public space,urban greenery",1389,300 stojaków rowerowych dla Ochoty,"children,youth,adults",1
10,1369,114000,"public transit and roads,public space",1351,Doświetlenie ciągów pieszych - Park Korotyńskiego,"children,seniors",1
11,1072,38000,environmental protection,1342,Chronimy ptaki w parkach Ochoty - konserwacja i zawieszenie nowych skrzynek lęgowych,adults,1
12,1094,11600,environmental protection,1272,"Dbamy o ptactwo wodne na stawach parków Ochoty - założenie tratew dla mew, łysek i kaczek",adults,1
13,1386,24000,"public space,urban greenery",1250,Nowe nasadzenia na Rakowcu,adults,1
14,461,25000,"environmental protection,urban greenery",1237,Nasadzenia rzadko spotykanych drzew,"children,youth,adults,seniors,people with disabilities",1
15,1051,56000,"education,environmental protection,urban greenery",1120,Ptasi zakątek,"children,youth,adults,seniors,people with disabilities",1
16,2066,56000,"public transit and roads,public space",1038,Doświetlenie ciągów pieszych na Rakowcu,None,1
17,1353,44000,"public transit and roads,environmental protection,public space",961,Wymiana (remont) chodników w parku Korotyńskiego,"children,youth,adults,seniors",1
18,1585,170000,"education,public space,sport",956,Kreatywny plac zabaw,"children,youth",1
19,399,166000,"public space,urban greenery",906,Montaż latarni na Skwerze Dobrego Maharadży,"children,youth,adults,seniors",1
20,1330,250000,"education,culture,sport",905,Dzieciaki na hale,"children,youth,adults",1
21,1030,31035,"education,culture,public space",904,Biblioteka czynna całą dobę - wrzutnia książek dla ochockich bibliotek,"children,youth,adults,seniors,people with disabilities",1
22,394,548516,"public transit and roads,public space",807,Remont chodnika na ulicy Szczęśliwickiej,"children,youth,adults",1
23,555,200000,"environmental protection,public space,urban greenery",740,Zielony skwer przy Rokosowskiej,"children,adults,seniors,people with disabilities",1
24,426,180000,"education,environmental protection,public space",687,"Zieleń to życie -Stworzenie zielonego otoczenia wokół budynków: Częstochowska 11/15, 17, 19 Dorotowska 2 i Białobrzeska 36 wraz z rewitalizacją altanki śmietnikowej","children,youth,adults,seniors,people with disabilities",1
25,456,130000,"public space,urban greenery",670,Zielone podwórko bez kup,"children,youth,adults,seniors,people with disabilities",0
26,1260,90000,"public transit and roads,public space",626,Wysepki dla pieszych na ulicy Szczęśliwickiej,"children,youth,adults,seniors,people with disabilities",0
27,187,4000,"environmental protection,urban greenery",613,Umieszczenie tabliczek z nazwami drzew i krzewów,"children,youth,adults,seniors,people with disabilities",1
28,459,33000,"education,culture",603,Inspirująca Biblioteka dla Dzieci i Młodzieży,"children,youth",0
29,550,455000,"public space,urban greenery",553,Wymiana 40 latarń – park Wielkopolski i skwer Sue Ryder,"children,youth,adults,seniors,people with disabilities",0
30,917,156000,"public space,urban greenery",525,Zielone podwórko - Racławicka 156,"children,youth,adults,seniors,people with disabilities",0
31,1089,8000,"education,culture",517,Czytanie na Dywanie - cykl zajęć dla dzieci w bibliotece,"children,families with children",0
32,2031,139200,"public transit and roads,public space",495,Więcej miejsc parkingowych i szersze chodniki na Pawińskiego,None,0
33,1634,150000,"environmental protection,public space,urban greenery",490,"Zielony zakątek Częstochowska 4, 4A,8","children,youth,adults,seniors,people with disabilities",0
34,2056,188404,"public transit and roads,public space",488,Zielone podwórko Bohdanowicza 2,"children,seniors",0
35,716,2000,"public transit and roads,environmental protection,public space",487,Stojaki na rowery,"children,youth,adults,seniors,people with disabilities",0
36,1031,72000,"education,environmental protection,sport",487,Wiaty rowerowe przy Szkole Podstawowej nr 10,"children,youth,adults,seniors",0
37,1545,215000,public transit and roads,482,"Remont chodnika, ulica Drygały, dojście do stacji PKP Rakowiec","children,youth,adults,seniors,people with disabilities",0
38,532,63000,"education,culture",475,Biblioteczny pakt z kulturą,"youth,adults,seniors",0
39,1839,350000,"culture,environmental protection,public space",441,Enklawa zieleni - Pasaż Braci Łopieńskich,"children,youth,adults,seniors,people with disabilities",0
