0,project_id,cost,category,votes,name,target,selected
1,304,280000,urban greenery,1042,Aleja 100 drzew,"youth,adults,seniors",1
2,796,257000,"environmental protection,public space,urban greenery",1002,"Zielona Dzielnica Włochy. Tak dla czystego powietrza. Nasadzenia krzewów w pasach drogowych ul. Bakalarskiej, ul. Radarowej ul Sulmierzyckiej, ul. Lechickiej, ul. Strubiczów, ul. Trapez i ul. Hynka oraz zakup i montaż 1000 sztuk treegatorów czyli worków do kropelkowego podlewania drzew","children,youth,adults,seniors,people with disabilities",1
3,533,48000,"education,environmental protection,public space",964,Chronimy jerzyki i wróble we Włochach-montaż skrzynek lęgowych,"children,youth,adults,seniors,people with disabilities",1
4,1319,11150,"education,public transit and roads,environmental protection",929,Łąki kwiatowe w Alejach Jerozolimskich,"children,youth,adults,seniors,people with disabilities",1
5,506,100000,"education,culture",907,Zakup nowości wydawniczych dla bibliotek w dzielnicy Włochy,"children,youth,adults,seniors,people with disabilities",1
6,1624,44500,"education,environmental protection,public space",842,"Woda, życia doda. Źródełko - poidełko w Parku Kombatantów","children,youth,adults,seniors,people with disabilities,animals",1
7,1408,84320,"education,sport",777,"W zdrowym ciele zdrowy duch - cały rok zajęcia sportowe dla mieszkańców dzielnicy: callanetics, zdrowy kręgosłup, pilates, joga, gimnastyka dla seniorów, aerobic","youth,adults,seniors",1
8,780,227000,"environmental protection,public space,urban greenery",725,Pierwsze parki kieszonkowe w Dzielnicy Włochy - tak dla zieleni !,"children,youth,adults,seniors,people with disabilities",1
9,928,65000,"culture,public space",671,Letnie kino nad stawami - edycja 2020,"youth,adults",1
10,1772,20000,culture,634,Zakup gier planszowych dla bibliotek,"children,youth,adults",1
11,1925,25000,"education,environmental protection,urban greenery",612,Kaczkomat przy Stawie Koziorożca,"children,youth,adults,seniors,people with disabilities",1
12,1270,35000,public transit and roads,602,Malowanie znaków poziomych na lokalnych drogach,"children,youth,adults,seniors,people with disabilities",1
13,598,282300,"education,culture,public space",560,Plac zabaw Naukowa na wesoło,"children,youth,people with disabilities",0
14,1817,117500,public space,537,Plac zabaw i toaleta dla psów przy torach,"youth,adults",1
15,1968,57000,"culture,public space",533,Mural Miasta-Ogrodu Włochy przy ul. Bolesława Chrobrego 7,"children,youth,adults,seniors,people with disabilities",1
16,250,71000,"education,culture,public space",512,Żwirko i Wigura – mural słynnych lotników we Włochach,"children,youth,adults,seniors",0
17,1271,80000,"public transit and roads,public space",436,Radarowy wyświetlacz prędkości na ul. Popularnej,"children,youth,adults,seniors,people with disabilities",0
18,1945,12550,education,413,"Składaj roboty za zero złotych - warsztaty z robotyki dla dzieci, z wykorzystaniem klocków lego i urządzeń mobilnych",children,1
19,1793,9000,"education,culture,public space",410,Domowe kino w bibliotece na kocu i przy popcornie,"children,youth,adults,people with disabilities",1
