0,project_id,cost,category,votes,name,target,selected
1,1596,840000,"environmental protection,public space,urban greenery",5634,Praga-Południe walczy ze smogiem. Sadzimy 500 szt. drzew zimozielonych,"children,youth,adults,seniors,people with disabilities",1
2,792,550000,"environmental protection,public space,urban greenery",4580,Czyste jezioro i stawy w Parku Skaryszewskim,"children,youth,adults,seniors,people with disabilities",1
3,1955,257997,"environmental protection,public space,urban greenery",3549,Ratujemy drzewa Parku Skaryszewskiego - kontynuacja,"children,youth,adults,seniors,people with disabilities",1
4,1485,647956,"public space,urban greenery",3472,Automatyczna toaleta miejska w Parku Skaryszewskim,"children,youth,adults,seniors,people with disabilities",1
5,1726,997231,public transit and roads,3339,"Dość potykania się - remonty chodników na Grochowie i Gocławiu, a nawet Saskiej Kępie","children,youth,adults,seniors",1
6,324,65000,"environmental protection,public space,urban greenery",3039,"Nie chcesz mieć szczurów? Zadbaj o koty! – Dokarmianie, leczenie i sterylizacja kotów wolno żyjących z Pragi - Południe oraz zakup/wykonanie zimowych budek z Pragi. Kontynuacja projektów z poprzednich edycji Budżetu",animals,1
7,1984,900000,"public transit and roads,environmental protection,public space",2556,Bezpieczne i zielone ulice Pragi Południe II,"children,youth,adults,seniors,people with disabilities",1
8,1158,904800,"education,environmental protection,public space",2532,Kosze miejskie do segregacji śmieci,"children,youth,adults,seniors,people with disabilities",1
9,1473,130000,"public space,urban greenery",2422,Na ratunek magnoliom w różance w Parku Skaryszewskim,"children,youth,adults,seniors,people with disabilities",1
10,1723,402000,"public transit and roads,public space",2325,Jaśniej na Pradze Południe - brakujące latarnie,"children,adults,seniors",1
11,1625,121800,"public transit and roads,environmental protection,public space",2214,Łąko-strada na Al. Stanów Zjednoczonych,"children,youth,adults,seniors,people with disabilities",1
12,776,82000,"environmental protection,public space,sport",2201,Bezpłatne wypożyczalnie kajaków i desek sup na Pradze-Południe,"children,youth,adults,seniors,people with disabilities,families with children",1
13,1798,900000,"public transit and roads,public space,urban greenery",2121,Kwiatowa Fieldorfa- wizytówka Gocławia,"children,youth,adults,seniors",0
14,1716,701000,"public transit and roads,urban greenery",2078,Wielkie rozpłytowanie - zieleń zamiast betonu na naszych podwórkach,"children,adults,seniors",0
15,1801,150000,"public space,urban greenery",1868,Zielona i pachnąca przystań na Gocławiu,"children,youth,adults,seniors,people with disabilities",0
16,1922,114800,"environmental protection,public space,urban greenery",1835,Ochrona drzew Saskiej Kępy - kontynuacja,"children,youth,adults,seniors,people with disabilities",0
17,1961,218105,"public transit and roads,environmental protection,public space",1805,Więcej zieleni na ul. Grochowskiej i Zwycięzców,"youth,adults,seniors,people with disabilities",0
18,1976,222360,"public space,urban greenery",1789,Wiosenne łączki roślin cebulowych na całej Pradze Południe,None,0
19,1479,365700,"environmental protection,public space,urban greenery",1780,Alejki w Parku Skaryszewskim przy Kąpiącej się,"children,youth,adults,seniors,people with disabilities",0
20,1939,273400,"public transit and roads,public space",1733,Nie potykaj się! Równe i bezpieczne chodniki na Grochowie i Gocławku,None,0
21,433,680000,"education,environmental protection,public space",1663,"Duża ścianka wspinaczkowa. Park-alejki z ławkami, stolik szachowy. Ścieżka zdrowia fit. Gocław. Grochów","children,youth,adults,seniors,people with disabilities",0
22,1739,100000,"public transit and roads,environmental protection,public space",1574,Stojaki rowerowe - na podwórkach i nie tylko,"children,youth,adults,seniors",0
23,935,425000,"public space,sport",1559,Duży plac zabaw dla małych dzieci na Gocławiu,"children,adults",0
24,1769,154200,"education,environmental protection,public space",1503,"Zagospodarowanie Parku Jeżogród na Gocławiu, Praga-Południe przy ul. Jugosłowiańskiej","children,adults,seniors,people with disabilities",0
25,849,237000,"environmental protection,public space,urban greenery",1502,Wybieg dla psów i zieleń na Pradze,"children,youth,adults,seniors,people with disabilities",0
26,1457,94100,education,1436,Uniwersytet dziecięcy na Pradze-Południe,"children,youth,adults,seniors,people with disabilities",0
27,172,890635,"public transit and roads,environmental protection,public space",1407,"Więcej zieleni - mniej betonu, nowe drzewa na ul. Zwycięzców","children,youth,adults,seniors,people with disabilities",0
28,403,274000,"education,culture",1344,"Czytanie książek to najpiękniejsza zabawa, jaką sobie ludzkość wymyśliła (W. Szymborska)-Zakup nowości książkowych i audiobooków dla 25 filii i oddziałów Biblioteki Publicznej im. Zygmunta Jana Rumla w Dzielnicy Praga-Południe m.st. Warszawy","children,youth,adults,seniors,people with disabilities",0
29,2043,843587,"public transit and roads,environmental protection,public space",1337,"Przyjazna Wspólna Droga - nasadzenie zieleni i drzew, nowa infrastruktura: przejścia dla pieszych, chodniki, miejsca postojowe","children,youth,adults,seniors,people with disabilities",0
30,1102,555000,"public space,sport,urban greenery",1316,"Skwer przy ul. Majdańskiej - rozbudowa placu zabaw dla dzieci starszych, kurtyna wodna, zieleń","children,youth,adults,seniors,people with disabilities",0
