0,project_id,cost,category,votes,name,target,selected
1,129,142300,"environmental protection,public space,urban greenery",640,Budujemy nowy park w Rembertowie! Rejon Strażacka/Kordiana,"children,youth,adults,seniors,people with disabilities",1
2,2107,175000,"public transit and roads,public space",610,Doświetlenie przejść dla pieszych w Rembertowie,"children,youth,adults,seniors,people with disabilities",1
3,1350,25000,"education,culture,public space",502,Modernizacja parku przy ul. Frontowej,"children,youth,adults,seniors,people with disabilities",1
4,131,57600,environmental protection,498,Budki lęgowe dla jerzyków i wróbli,"children,youth,adults,seniors,people with disabilities,animals",1
5,1266,55000,"culture,public space",459,Rembertowskie kino pod gwiazdami,"children,youth,adults,seniors,people with disabilities",1
6,875,27230,"education,culture",452,Kodowanie i programowanie - zakup pomocy do prowadzenia zajęć pozalekcyjnych dla dzieci i młodzieży z dzielnicy Rembertów.,"children,youth,adults,people with disabilities",1
7,1191,73500,"environmental protection,public space,urban greenery",431,Nasadzenia drzew i krzewów w dzielnicy Rembertów,"children,youth,adults",1
8,817,180000,public space,412,Modernizacja placu zabaw w dzielnicy Rembertów,"children,youth",1
9,783,139000,"education,culture",395,Książki i wydarzenia w bibliotece,"children,youth,adults,seniors,people with disabilities",1
10,1415,187000,"education,culture,public space",386,Bezpieczne miejsce spotkań i zabawy przy ul. Ziemskiego,"children,youth,adults,seniors,people with disabilities",0
11,127,24000,"education,environmental protection,public space",372,Pojemniki na nakrętki Serce,"children,youth,adults,seniors,people with disabilities",1
12,2127,63000,"education,culture,sport",327,"Rodzinne pikniki, plenery i imprezy na świeżym powietrzu","children,youth,adults,seniors",0
13,2110,187000,"public transit and roads,public space",319,Bezpieczniej na Kadrowej – wyniesienie skrzyżowań,"children,youth,adults,seniors,people with disabilities",0
14,1297,49000,"education,culture,sport",314,Rodzinny Rembertów - koncerty i wydarzenia,"children,youth,adults,seniors,people with disabilities",0
15,358,33500,"education,welfare,public space",282,Zrób to sam - czyli stacja do samodzielnej naprawy rowerów,"children,youth,adults,seniors,people with disabilities",1
16,784,30100,"education,culture",262,Rembertowski Uniwersytet Dziecięcy,children,0
17,820,120000,public space,247,Modernizacja placu zabaw przy stacji PKP Warszawa Rembertów,"children,youth",0
18,2097,165000,"culture,public space",241,Mural 3D na budynku Ratusza,"children,youth,adults,seniors,people with disabilities",0
19,130,115000,"culture,public space",239,Mural dotyczący historii Rembertowa,"children,youth,adults,seniors,people with disabilities",0
20,915,18000,"public transit and roads,public space",233,Lustra drogowe ułatwiające wyjazd z ulic osiedlowych na ul. Chełmżyńską i ul. Szeroką,"children,youth,adults,seniors,people with disabilities",0
21,929,49500,"welfare,public space",217,Ławki do karmienia oraz przewijania dzieci na placach zabaw Rembertowa (Stary Rembertów),"children,adults,people with disabilities",0
22,360,4800,"education,environmental protection,public space",203,Łazienki Królewskie - nie - wystarczy toaleta przenośna na Nowym Rembertowie i ludzka potrzeba,"children,youth,adults,seniors,people with disabilities",0
23,1907,33200,"public transit and roads,environmental protection,public space",203,Zieleń przy ul. Płatnerskiej,"children,youth,adults,seniors,people with disabilities",0
24,2134,20000,"culture,welfare",202,Rembertowska wyprzedaż garażowa,"children,youth,adults,seniors,people with disabilities",0
25,1241,175000,"environmental protection,public space,urban greenery",201,Nasadzenia drzew i krzewów na terenie Wygody w dzielnicy Rembertów,"children,youth,adults,seniors",0
26,2106,12900,public space,184,Tablice informacyjne w przejściu podziemnym przy stacji PKP,"children,youth,adults,seniors,people with disabilities",0
27,2000,93600,"culture,public space",182,Aleja spacerowa Działyńczyków,"children,youth,adults,seniors",0
28,2040,117250,"culture,public space",181,Rembertowskie spotkania muzyczne,"adults,seniors,people with disabilities",0
29,128,150000,"public transit and roads,culture,public space",176,Zimowa iluminacja świetlna na ul. Czerwonych Beretów i ul. Frontowej,"children,youth,adults,seniors,people with disabilities",0
30,1291,3180,sport,165,Gimnastyka latem na trawce,"adults,seniors",1
31,1298,150000,"education,culture,public space",144,Ogród doświadczeń w Domu Kultury Rembertów,"children,youth,adults,seniors,people with disabilities",0
32,2105,34000,"education,culture",141,"Warsztatownia w Rembertowie, czyli praktyczne i artystyczne warsztaty dla każdego","children,youth,adults,seniors,people with disabilities",0
33,1256,4000,"education,culture",137,"Wakacyjny relaks- joga, pilates, zumba w Domu Kultury Rembertów","youth,adults,seniors",0
34,1270,57000,"education,culture",133,Pracownia grafiki komputerowej w Domu Kultury Rembertów,"children,youth,adults",0
35,1194,4800,"culture,environmental protection,public space",129,Przenośne toalety przy placu zabaw na Wygodzie,"children,youth,adults,seniors,people with disabilities",0
36,2130,17000,welfare,126,Międzypokoleniowa przestrzeń rekreacyjna w Ośrodku Pomocy Społecznej Dzielnicy Rembertów m.st. Warszawy,"children,youth,adults,seniors,people with disabilities",0
37,1986,11990,"education,culture",124,Warsztaty szycia dla młodzieży i dorosłych,"youth,adults",0
38,2123,20000,welfare,119,Rembertowski bal seniora w ramach obchodów Warszawskich Dni Seniora,seniors,0
39,2163,4500,"education,public transit and roads,culture",118,Dofinansowanie pracowni malarskiej Rembertowskiej Akademii Seniora,"children,youth,adults,seniors,people with disabilities",0
40,907,26000,"public space,sport",113,Doposażenie siłowni plenerowej na Osiedlu Kawęczyn-Wygoda (ul. Traczy),"children,youth,adults,seniors,people with disabilities",0
41,2007,60500,culture,113,Rembertowskie spotkania teatralne,"children,youth,adults,seniors",0
42,2117,180000,"culture,public space",113,Ławeczka Mistrza Paderewskiego,"children,youth,adults,seniors,people with disabilities",0
43,362,24000,"education,culture,welfare",112,Daj lub weź - to plenerowa biblioteczka na Nowym Rembertowie,"children,youth,adults,seniors,people with disabilities",0
44,1268,16000,"education,culture",109,Pracownia szycia,"children,youth,adults,seniors,people with disabilities",0
45,921,33000,"welfare,public space",106,Ławki do karmienia oraz przewijania dzieci na placach zabaw Rembertowa (Kawęczyn-Wygoda),"children,adults,people with disabilities",0
46,1272,60000,"education,culture,public space",102,Kulturalna muszla - cykl eventów,"children,youth,adults,seniors,people with disabilities",0
47,2094,10000,"culture,welfare",101,"Dodatki, rekwizyty i elementy strojów scenicznych dla zespołu tanecznego Rasowianki z Rembertowskiej Akademii Seniora","adults,seniors",0
48,2108,16000,"education,culture",100,Rembertowskie spotkania z aktorami,"children,youth,adults,seniors,people with disabilities",0
49,1995,14100,"education,culture",98,Klocko-mania,"children,youth,adults",0
