0,project_id,cost,category,votes,name,target,selected
1,1711,323000,"public transit and roads,public space,sport",2437,Łączymy rowerowe szlaki - uzupełnienie sieci dróg rowerowych na Ursynowie o brakujące odcinki,"children,youth,adults,seniors,people with disabilities",1
2,2016,9000,"education,environmental protection,public space",2372,Ursynów przyjazny jeżom!,"children,youth,seniors",1
3,1875,1095500,"education,public transit and roads,environmental protection",2188,Rowerowa Od-Nowa: modernizacja dróg dla rowerów na Ursynowie,"children,youth,adults,seniors,people with disabilities",1
4,799,300000,"environmental protection,public space,urban greenery",2084,"Więcej tlenu, mniej pyłów i hałasu – posadzenie 200 drzew wzdłuż ulic Ursynowa","children,youth,adults,seniors,people with disabilities",1
5,167,890000,"public space,urban greenery",1864,Zielona Oś Ursynowa - Nowy Park i fontanna w otoczeniu pięknych kwiatów i ziół - obok Ratusza,"youth,adults,seniors",1
6,797,350000,"public transit and roads,public space,urban greenery",1756,"Oświetlenie ciągów pieszych i rowerowych na Ursynowie (Park Kozłowskiego, ul. Rosoła, Park Przy Bażantarni)","children,youth,adults,seniors,people with disabilities",1
7,1261,420000,"environmental protection,public space,health",1723,Tężnia solankowa na Natolinie,"children,youth,adults,seniors,people with disabilities",1
8,975,212040,"public transit and roads,environmental protection,urban greenery",1684,Zielone skwery na Ursynowie (kontynuacja),"children,adults,seniors,people with disabilities",1
9,1080,882495,"education,environmental protection,public space",1653,"Małe Zakopane latem i zimą - to propozycja w 100% bezpłatnych ekologicznych lodowisk i górek zjazdowych wraz ze sprzętem do nauki jazdy na łyżwach, sankach dla całych rodzin w kilku lokalizacjach Ursynowa na świeżym powietrzu","children,youth,adults",1
10,19,84000,"environmental protection,public space,urban greenery",1620,Ursynów zielona dzielnica Warszawy,"children,youth,adults,seniors,people with disabilities",1
11,1248,144760,"public transit and roads,environmental protection,public space",1558,"Park, nie parking. Zadrzewienie parkingów pomiędzy Ratuszem a domem kultury Alternatywy","children,youth,adults,seniors,people with disabilities",1
12,1265,820000,"public transit and roads,public space",1372,Rozświetlmy Ursynów! Oświetlenie ciemnych miejsc na Ursynowie,"children,youth,adults,seniors,people with disabilities",1
13,2112,250000,"education,culture",1312,"Muzyczne lato na Ursynowie - plenerowe koncerty mistrzów klasyki, jazz, folk i inne","children,youth,adults,seniors,people with disabilities",0
14,1010,168900,"public transit and roads,environmental protection,public space",1310,"30 drzew, 800 krzewów, przy ul. Rosoła i al. R. Anody - kontynuacja zielonej osi Ursynowa","children,youth,adults,seniors,people with disabilities",0
15,1720,770000,public transit and roads,1305,Remont drogi rowerowej wzdłuż ul. Ciszewskiego,"children,youth,adults,seniors",0
16,364,940000,"public transit and roads,environmental protection,public space",1218,Przebudowa drogi rowerowej wzdłuż Wąwozowej (od al. KEN do Stryjeńskich),"children,youth,adults,seniors,people with disabilities",0
17,1761,58000,"education,public transit and roads,culture",1213,"Zielone i bezpieczne place zabaw – nowe nasadzenia, naprawa lub wymiana urządzeń","children,youth,adults,seniors,people with disabilities",1
18,619,14025,"environmental protection,public space,urban greenery",1174,Kwiaty i ozdobne antysmogowe krzewy dla Ursynowa - niczym mała Holandia - w drodze do szkoły - pracy - domu z myślą o wszystkich mieszkańcach,"children,youth,adults,seniors",1
19,1320,79000,"education,public transit and roads,culture",1167,Garażówki na Ursynowie!!! Ursynowska ratuszowa wyprzedaż garażowa powraca!!!,"children,youth,adults,seniors,people with disabilities",0
20,812,1100000,"public transit and roads,public space",1139,Doświetlenie przejść dla pieszych,"children,youth,adults,seniors,people with disabilities",0
21,948,14000,"environmental protection,public space",1138,Las dla ludzi - ławki zamiast samochodów,"children,youth,adults,seniors,people with disabilities",0
22,1277,230000,"public space,sport,urban greenery",1130,Pies park - wybieg dla psów z Ursynowa,None,0
23,1283,320000,"environmental protection,public space,urban greenery",1125,Dbamy o ursynowskie drzewa – podlewanie (kontynuacja),"children,youth,adults,seniors,people with disabilities",0
24,2087,1120150,public transit and roads,1121,149 nowych latarni na ursynowskich ulicach,"children,youth,adults,seniors,people with disabilities",0
25,1355,80000,"culture,public space",1018,Kino pod chmurką - letnie pokazy filmowe w różnych lokalizacjach na Ursynowie,"youth,adults,seniors,people with disabilities",0
26,728,942800,"public transit and roads,public space,urban greenery",976,"Remont chodnika wzdłuż Rosoła, Płaskowickiej i Cynamonowej","children,youth,adults,seniors,people with disabilities",0
27,1358,252150,"education,culture,sport",972,Bezpłatne zajęcia dla dzieci w ursynowskich domach kultury,"children,youth",0
28,853,455730,sport,961,Lodowisko na Ursynowie,"children,youth,adults,seniors",0
