,,,,,,,,,,,,,,,,,,
,,Poland Ursynow Data,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Year Wise Aggregation (presence only),,,,,,
,,Frequencies of occurence,,,,,,,,,,,2019,2020,2021,2022,,
,,,,2019 (57),2020 (120),2021 (104),2022 (106),,,,,families_with_children,0.45,0.01,0.02,0.01,,
,,education,,0.59,0.36,0.01,0.44,0.13,,,,children,0.48,0.83,0.89,0.86,,
,,urban greenery,,0.05,0.21,0.83,0.17,0.7225,,,,youth,0.49,0.77,0.83,0.86,,
,,public space,,0.34,0.53,0.85,0.48,0.715,,,,adults,0.52,0.8,0.84,0.88,,
,,welfare,,0.03,0.13,0.81,0.11,0.725,,,,people_disabilities,0.13,0.48,0.65,0.66,,
,,culture,,0.36,0.19,0.64,0.27,0.4475,,,,seniors,0.47,0.68,0.77,0.75,,
,,environmental protection,,0.17,0.29,0.73,0.31,0.6425,,,,,,,,,,
,,public transit and roads,,0.09,0.18,,0.26,0,,,,,,,,,,
,,sport,,0.17,0.31,,0.16,,,,,,,,,,,
,,health,,0.16,0.01,,0.07,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Weighted Votes,,,,,,0,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,
,,,,2019 (57),2020 (120),2021 (104),2022 (106),#VALUE!,,,,,,,,,,
,,education,,0.27,0.08,0,0.11,0.065,,,,,,,,,,
,,urban greenery,,0.04,0.09,0.3,0.07,0.26,,,,,,,,,,
,,public space,,0.19,0.19,0.31,0.17,0.255,,,,,,,,,,
,,welfare,,0.01,0.02,0.3,0.02,0.27,,,,0,0,0,0.01,0,0,0.001666666666667
,,culture,,0.19,0.05,0.23,0.06,0.1525,,,,0.26,0.31,0.31,0.21,0.28,0.26,0.271666666666667
,,environmental protection,,0.11,0.11,0.28,0.13,0.235,,,,0.26,0.33,0.31,0.21,0.27,0.25,0.271666666666667
,,public transit and roads,,0.05,0.07,,0.11,0,,,,0.25,0.36,0.34,0.22,0.28,0.26,0.285
,,sport,,0.09,0.09,,0.04,0,,,,0.21,0.26,0.21,0.18,0.21,0.22,0.215
,,health,,0.08,0.0045,,0.01,0,,,,0.24,0.28,0.28,0.2,0.23,0.25,0.246666666666667
,,,,,,,,0,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,2019 (57),2020 (120),2021 (104),2022 (106),#VALUE!,,,,,,,,,,
,,education,,0.15,0.04,0,0.04,0.03,,,,,,,,,,
,,urban greenery,,0.01,0.03,0.08,0.03,0.0775,,,,,,,,,,
,,public space,,0.09,0.08,0.08,0.07,0.07,,,,Year Wise Aggregation (weighted votes presence),,,,,,
,,welfare,,0,0.01,0.07,0.01,0.0775,,,,,2019,2020,2021,2022,,
,,culture,,0.1,0.03,0.05,0.03,0.03,,,,families_with_children,0.25,0.04,0,0,,
,,environmental protection,,0.06,0.05,0.06,0.05,0.06,,,,children,0.27,0.27,0.3,0.27,,
,,public transit and roads,,0.02,0.04,,0.05,,,,,,,,,,,
,,sport,,0.04,0.04,,0.02,,,,,,,,,,,
,,health,,0.04,0.0007,,0,,,,,,,,,,,
,,,,,,,,0,,,,youth,0.25,0.26,0.29,0.27,,
,,,,,,,,0,,,,adults,0.27,0.28,0.3,0.29,,
,,,,,,,,,,,,,,,,,,
,,Poland Ochota Data,,,,,,0,,,,people_disabilities,0.06,0.16,0.23,0.22,,
,,,,,,,,0,,,,seniors,0.25,0.22,0.27,0.25,,
,,Frequencies of occurence,,,,,,0,,,,,,,,,,
,,,,2019 (57),2020 (120),2021 (104),2022 (106),#VALUE!,,,,,,,,,,
,,education,,0.29,0.31,0.37,0.31,0.085,,,,,,,,,,
,,urban greenery,,0.43,0.27,0.2,0.2,0.7025,,,,,,,,,,
,,public space,,0.38,0.61,0.64,0.54,0.715,,,,0,0,0,0,0,0,0
,,welfare,,0.05,0,0.04,0.02,0.7925,,,,0.06,0.08,0.08,0.05,0.07,0.06,0.066666666666667
,,culture,,0.24,0.22,0.3,0.3,0.4525,,,,0.06,0.08,0.07,0.04,0.07,0.06,0.063333333333333
,,environmental protection,,0.43,0.35,0.27,0.28,0.765,,,,0.06,0.1,0.08,0.06,0.07,0.06,0.071666666666667
,,public transit and roads,,0.1,0.24,0.32,0.24,0,,,,0.04,0.06,0.05,0.04,0.04,0.05,0.046666666666667
,,sport,,0.24,0.12,0.12,0.15,0,,,,0.05,0.06,0.07,0.04,0.05,0.06,0.055
,,health,,0.29,0.04,0,0.02,0,,,,,,,,,,
,,,,,,,,#VALUE!,,,,,,,,,,
,,Weighted Votes,,,,,,0.0425,,,,,,,,,,
,,,,,,,,0.2925,,,,,,,,,,
,,,,2019 (57),2020 (120),2021 (104),2022 (106),0.275,,,,,,,,,,
,,education,,0.16,0.12,0.1,0.08,0.3275,,,,Year Wise Aggregation (split weighted votes presence),,,,,,
,,urban greenery,,0.31,0.1,0.09,0.11,0.18,,,,,2019,2020,2021,2022,,
,,public space,,0.28,0.21,0.22,0.21,0.31,,,,families_with_children,0.09,0,0,0,,
,,welfare,,0.02,0,0.01,0.01,0,,,,children,0.1,0.09,0.08,0.07,,
,,culture,,0.1,0.07,0.08,0.06,0,,,,youth,0.09,0.07,0.07,0.06,,
,,environmental protection,,0.31,0.15,0.1,0.12,0,,,,adults,0.1,0.08,0.07,0.07,,
,,public transit and roads,,0.06,0.08,0.11,0.1,0,,,,people_disabilities,0.02,0.04,0.05,0.05,,
,,sport,,0.09,0.04,0.03,0.05,0,,,,seniors,0.09,0.06,0.06,0.06,,
,,health,,0.14,0.01,0,0.01,#VALUE!,,,,,,,,,,
,,,,,,,,0.0125,,,,,,,,,,
,,,,,,,,0.08,,,,,,,,,,
,,,,,,,,0.07,,,,,,,,,,
,,,,,,,,0.0975,,,,,,,,,,
,,,,2019 (57),2020 (120),2021 (104),2022 (106),0.04,,,,,,,,,,
