0,project_id,cost,category,votes,name,target,selected
1,2254,38700,environmental protection,1520,Skrzynki lęgowe dla jerzyków i wróbli na Ochocie,animals,1
2,1686,113920,"environmental protection,public space,urban greenery",1350,"Chrońmy stare drzewa Ochoty – ostoję bioróżnorodności, skuteczny sposób redukcji zanieczyszczeń powietrza","youth,adults,seniors",1
3,1990,41250,"environmental protection,public space,urban greenery",1345,Czysty Park Szczęśliwicki - nakładki na kosze na śmieci,"children,seniors,families with children",1
4,1692,150000,"public transit and roads,public space,urban greenery",1298,Zielony Plac Zawiszy,"children,adults,seniors",1
5,1157,84900,"public space,urban greenery",1242,"Mam Ochotę wyjść, mam ławki - zadbajmy o Seniorów","seniors,people with disabilities,families with children",1
6,2265,50000,"education,environmental protection,health",1113,Łąka kwietna na Rakowcu,"children,youth,adults,seniors,students,people with disabilities,families with children,animals",1
7,2056,14500,"environmental protection,public space,urban greenery",1068,Czysty Park Forty Korotyńskiego - nakładki na kosze na śmieci,"children,adults,seniors",1
8,1700,20600,"education,environmental protection,urban greenery",1046,Strażnicy drzew - społeczna inicjatywa na rzecz ochrony drzew na Ochocie,"children,youth,adults",1
9,1235,30500,"education,culture,health",926,Letnie spotkania z teatrem w Parku Szczęśliwickim i Sali Ośrodka Kultury Ochoty,"children,seniors,families with children",1
10,1349,7500,"education,culture",907,Artyści w bibliotece! Mała Grafika – Wielka Sprawa,"youth,adults,seniors",0
11,2031,25750,"environmental protection,public space,urban greenery",893,Czysty Park im. Zasława Malickiego - nakładki na kosze na śmieci,"children,adults,seniors",0
12,2081,11750,"environmental protection,public space,urban greenery",892,Czysty Park im. Marii Skłodowskiej-Curie - nakładki na kosze na śmieci,"children,adults,seniors",0
13,1449,11070,health,784,"Profilaktyczna metoda w zapobieganiu zakażeniom w placówkach publicznych (żłobki, przedszkola, szkoły) z zastosowaniem ozonatorów",None,0
14,2114,7750,"environmental protection,public space,urban greenery",777,Czysty Skwer im. Grotowskiego - nakładki na kosze na śmieci,"children,adults,seniors",0
15,2142,9660,"sport,health",671,Mam ochotę na ćwiczenia na świeżym powietrzu na Ochocie - Park Malickiego,"youth,adults,seniors",0
16,1739,27900,"education,welfare,sport",628,Wytańcz zdrowie - ciesz się życiem. Ruch i profilaktyka,"adults,seniors,people with disabilities",0
17,1291,9660,"sport,health",577,Mam ochotę na ćwiczenia na świeżym powietrzu na Ochocie – Skwer Grotowskiego,"youth,adults,seniors",0
18,2302,20000,"education,culture,sport",536,Ochota na rowery - cykl wycieczek rowerowych,"children,youth,seniors,students,families with children",0
19,2016,145000,public transit and roads,526,Poprawa bezpieczeństwa - wyniesione skrzyżowanie Pasteura/Winnicka,"youth,seniors,students",0
20,2317,5350,"culture,sport,health",492,I Turniej piłkarski o puchar budżetu partycypacyjnego na Rakowcu,"youth,adults,students",1
21,1495,23750,culture,407,II Potańcówka na pl. przy Sąchockiej,"youth,seniors,families with children",0
