0,project_id,cost,category,votes,name,target,selected
1,1797,22850,"environmental protection,public space,urban greenery",3390,Zielony chodnik między Saską Kępą a Gocławiem (NIE! dla trucia mieszkańców),"youth,adults,families with children",1
2,1530,115000,"environmental protection,public space,urban greenery",3182,Ratujemy drzewa Parku Skaryszewskiego,"children,seniors,families with children",1
3,569,15000,environmental protection,2947,leczenie i sterylizacja wolno żyjących kotów-kontynuacja projektu,animals,1
4,1163,81750,"environmental protection,public space",2705,Nowe kosze na śmieci,"children,adults,families with children",1
5,1127,9000,"education,culture",2406,Zakup nowości książkowych dla Biblioteki dla dzieci i młodzieży nr 55,"children,youth,families with children",1
6,478,2100,"public transit and roads,public space",2401,Najazd na Mostek Elekcyjny,"children,youth,adults",1
7,2308,14600,environmental protection,2362,Na pomoc praskim mruczkom bezdomnym,animals,1
8,1218,7000,"education,culture",2331,Zakup nowości Wydawniczych Wypożyczalni dla Dorosłych i Młodzieży nr 62,"adults,seniors,students",1
9,2253,200000,"public transit and roads,public space",2212,Modernizacja mostków na Kanale Gocławskim na odcinku od ul. Fieldorfa do ul. Rechniewskiego,"youth,seniors,families with children",1
10,1519,115500,"environmental protection,public space,urban greenery",2134,Ochrona drzew Saskiej Kępy,"children,seniors,families with children",1
11,1826,222000,"environmental protection,sport,urban greenery",1960,Angielski (dziki) Park przy Wale Gocławskim,"adults,seniors,families with children",1
12,2272,220000,"welfare,public space",1927,Bawmy się bez ograniczeń - Plac zabaw dla niepełnosprawnych,people with disabilities,0
13,3,40000,"public transit and roads,public space",1916,Oświetlenie przejścia pieszo-rowerowego Łukowska,"adults,people with disabilities,families with children",1
14,2019,9660,"sport,health",1912,Ćwiczenia na świeżym powietrzu w Parku Skaryszewskim.,"youth,adults,seniors",1
15,2099,210000,"education,environmental protection,health",1817,Naturalny plac zabaw na Błoniach Elekcyjnych,"children,people with disabilities,families with children",0
16,1434,10000,"education,culture",1717,"Audiobooki i czytaki dla Książki Mówionej, ul. Meissnera 5","adults,seniors,people with disabilities",1
17,1194,99700,"public transit and roads,public space",1668,Chodnik XXI wieku,"children,seniors,people with disabilities",0
18,16,10200,"sport,health,urban greenery",1655,Zajęcia z instruktorem na siłowniach plenerowych Praga-Południe,"youth,adults,families with children",1
19,1004,49800,"education,welfare",1563,Warsztaty z alternatywnych metod komunikacji dla osób niepełnosprawnych ze znacznie ograniczonymi możliwościami porozumiewania się,people with disabilities,0
20,1221,38400,education,1518,zajęcia z robotyki z wykorzystaniem różnych klocków Lego,youth,1
21,742,7500,culture,1485,Tablice informacyjne w Parku Znicza,"children,youth,adults",1
22,414,3900,"education,health",1446,Bezpieczny maluszek - konsultacje dla rodziców,families with children,0
23,1858,46500,"education,culture",1304,Zakochaj się w Pradze-Południe,"youth,adults,students",0
24,559,10000,"education,culture,public space",1246,"Spotkania autorskie i tematyczne dla dorosłych, młodzieży i dzieci w czytelni na ul. Meissnera 5.","children,adults",0
25,1458,169000,"education,sport",1242,Jordanek - latem gramy w kosza!,"children,youth,adults",0
26,2005,30000,"public transit and roads,public space,sport",1143,Nowy chodnik do sklepu przy ul. Nowaka-Jeziorańskiego 35,"children,adults,seniors",0
27,895,8750,"education,health",1125,Hipokrates - wiedza i praktyka - o zdrowiu dla seniorów w Klubie Kultury Seniora,"adults,seniors",0
28,1279,49800,"culture,sport,health",937,Boks dla każdego Małego i dużego. Ogólnodostępne treningi bokserskie.,"youth,adults,families with children",0
29,1707,42400,"education,health",804,„Aktywny Spacer z Wózkami”,None,0
30,1803,300000,"public transit and roads,culture,public space",738,"Paryska elegancja na Grochowie, stylowe latarnie przy Placu 1831 roku.",None,0
31,1167,292500,public transit and roads,674,Remont nawierzchni od ul.Biskupiej do ul. Cukrowniczej,"adults,people with disabilities,families with children",0
32,1334,9500,"education,culture,public space",628,Konkurs plastyczny- Herb dla Pragi - Południe,"youth,adults,seniors",0
33,785,200000,"education,welfare,public space",567,Dom sąsiedzki na Gocławiu,"seniors,families with children",0
34,1338,220000,"education,welfare,public space",507,Miejsce aktywności lokalnej na Saskiej Kępie! :-),"youth,adults,seniors",0
35,10,80000,"public space,sport,health",463,Bieg: Świętojańska Dycha na Pradze-Południe,"children,youth,adults",0
