0,project_id,cost,category,votes,name,target,selected
1,1595,68000,"environmental protection,public space,urban greenery",944,Drzewa dla Włoch,"children,adults,seniors",1
2,1585,170000,"public space,urban greenery",813,Poprawa oświetlenia w Parku Kombatantów przy PKP Włochy,"children,adults,families with children",1
3,523,25200,"education,culture,public space",766,Zakup nowości wydawniczych do Biblioteki Publicznej w Dzielnicy Włochy ul. J.Chrościckiego 2,"children,youth,adults",1
4,1848,80000,"environmental protection,public space,urban greenery",698,Uporządkowanie terenu zieleni na końcu ulicy Chrościckiego,"seniors,families with children,animals",1
5,2216,58000,public space,652,Hamak miejski nad Stawami Cietrzewia,"youth,adults,families with children",1
6,2252,212400,sport,614,Boisko wielofunkcyjne,"youth,seniors,families with children",1
7,1923,6240,"sport,health",607,Bezpłatne zajęcia jogi we włochowskich parkach,"youth,adults,seniors",1
8,1839,390000,"public space,sport,health",586,"Ogólnodostępna, profesjonalna ścianka wspinaczkowa na terenie Parku ze Stawami Cietrzewia","children,youth,adults",1
9,1766,52500,"public space,sport,health",577,Siłownia Street workout - aktywnie na Nowych Włochach,"youth,adults",1
10,2239,29075,urban greenery,559,Nasadzenie krzewiastych róż + nowe kosze wzdłuż ulicy Obywatelskiej,"youth,adults,families with children",1
11,1094,138000,"welfare,public space,health",531,Defibrylatory na start. Bezpieczna Dzielnica Włochy,None,0
12,1092,36600,"education,health",462,Młody ratownik. Kurs Pierwszej Pomocy dla dzieci i młodzieży z Dzielnicy Włochy,"children,youth,people with disabilities",0
13,2039,10000,education,449,Warsztaty chemiczne dla dzieci i seniorów czyli poznawanie przedmiotów ścisłych z Marią Skłodowską-Curie,"children,youth,seniors",0
14,1039,36600,"education,welfare,health",424,Ratujmy życie. Kurs pierwszej pomocy dla mieszkańców Dzielnicy Włochy,"youth,adults,people with disabilities",0
15,1590,11000,"sport,health",416,Włochowskie Czwartki Biegowe,"adults,seniors,families with children",0
16,978,25200,"education,sport",414,Naucz się bronić. Kurs samoobrony dla kobiet,"youth,adults,people with disabilities",0
17,1941,9400,"welfare,sport,health",408,Wesołe jest życie staruszka na osiedlu Chrobrego! Zajęcia zdrowotne.,"adults,seniors,people with disabilities",0
18,1951,39000,"education,culture,public space",394,Kino Plenerowe na osiedlu Chrobrego,"children,youth,families with children",0
19,1013,31300,"education,sport",392,Naucz się bronić. Reaguj. Bezpieczne dzieci,"children,youth,people with disabilities",0
20,2232,18500,"sport,health",375,Piknik- Żyjmy zdrowo na sportowo,"youth,seniors,families with children",0
21,1932,309150,"environmental protection,sport,urban greenery",374,Skwer Chrobrego na osiedlu Chrobrego [między Zapustną a Tynkarską],"youth,seniors,families with children",0
22,611,120000,"public transit and roads,public space",374,Azyle dla pieszych i spowalniacze na ul. Chrościckiego,"children,people with disabilities",0
23,586,30100,"education,culture,sport",340,Zakup sprzętu nagłaśniającego i projektora,"children,youth,families with children",0
24,130,4000,public transit and roads,301,Ulica Milanowska-zmiana organizacji ruchu na jednokierunkowy z parkowaniem po jednej stronie ulicy,"adults,seniors,families with children",1
25,2283,432462,"sport,health",274,FIP.PO1 Szkoła Kosz,"children,youth,adults",0
26,874,12400,"education,culture",254,Kobiety do garów! Warsztaty perkusyjne dla kobiet,adults,0
27,896,80000,culture,233,Anime Festiwal we Włochach.,"youth,adults",0
