0,project_id,cost,category,votes,name,target,selected
1,2009,82000,public space,829,Czysta droga do szkoły - kosze na śmieci w Rembertowie,"children,youth,adults,seniors,people with disabilities",1
2,1917,60000,public transit and roads,705,Bezpieczna droga do szkoły - przejście dla pieszych przez ul. Paderewskiego,"children,youth,adults,seniors,people with disabilities",1
3,589,49000,"education,culture",689,Książki i multimedia do Biblioteki,"children,youth,adults,seniors,people with disabilities",1
4,590,47000,"education,culture",568,Organizacja wydarzeń kulturalnych i edukacyjnych w Bibliotece,"children,youth,adults,seniors,people with disabilities",1
5,1486,5400,"education,culture",561,Warsztaty naukowe dla dzieci,children,1
6,594,22000,education,544,Rembertowski Uniwersytet Dziecięcy,children,1
7,1079,88400,"environmental protection,urban greenery",544,Nasadzenia drzew i krzewów przy al. gen. Antoniego Chruściela „Montera i Czerwonych Beretów (odcinek od al. gen. Chruściela „Montera do budynku Wojskowego Biura Historycznego - prawa strona),"children,youth,adults",1
8,1188,50000,"education,culture,public space",491,"Bożonarodzeniowe Iluminacje, dekoracje","youth,adults,seniors,people with disabilities,children",1
9,1287,15000,"education,public transit and roads,culture",447,Stacja kontroli rowerów,"youth,adults,seniors,children",1
10,1253,132000,"education,culture",413,Rembertowskie koncerty/spotkania teatralne,"children,adults,seniors",1
11,1570,19200,"education,sport",367,Bezpieczna Rembertowianka - kurs samoobrony dla kobiet,"youth,adults",1
12,1354,38000,"public space,sport",334,Ściana wspinaczkowa na Wygodzie,children,1
13,1683,84000,"education,culture,environmental protection",330,Doświadczenia w plenerze - ogródek doświadczalny,"children,youth,adults",1
14,381,4883,"education,culture,welfare",320,Wyposażenie Klubu Seniora w komputer z oprogramowaniem,"youth,adults,seniors,people with disabilities",1
15,2098,80000,"education,culture",292,Nowoczesne studio nagrań w Domu Kultury Rembertów,"children,youth,adults,seniors",1
16,1685,121000,"public transit and roads,public space",277,Budowa chodnika po nieparzystej (zachodniej) stronie ul. Republikańskiej od ul. Dziewosłęby do ul. Fiszera,"children,youth,adults,seniors,people with disabilities",0
17,2092,23000,"education,culture",273,"Rembertowska Warsztatownia, czyli cykl praktycznych warsztatów dla każdego","children,youth,adults,seniors,people with disabilities",1
18,2146,23100,"education,culture",231,Kulinarne spotkania z podróżnikami w Domu Kultury „Rembertów,"children,youth,adults,seniors,people with disabilities",1
19,2072,26900,"education,culture",231,Potańcówki na dechach z muzyką na żywo w Domu Kultury „Rembertów,"children,youth,adults,seniors",0
20,2149,39000,"education,culture",228,Cykl wydarzeń plenerowych w Domu Kultury „Rembertów,"children,youth,adults,seniors,people with disabilities",0
21,2076,33700,sport,223,Doposażenie terenu obiektu sportowo-rekreacyjnego przy ulicy Barlickiego na terenie Dzielnicy Rembertów,"children,youth,adults,seniors",0
22,1509,5300,"environmental protection,urban greenery",215,Zielona osłona placu zabaw na Wygodzie,children,1
23,1824,2400,public space,213,Ławki na Skwerze Świętego Jana Pawła II na Nowym Rembertowie,"children,youth,adults,seniors,people with disabilities",1
24,1384,162000,"environmental protection,public space,urban greenery",209,Renowacja pasa zieleni ul. Działyńczyków,"children,youth,adults,seniors,people with disabilities",0
25,1306,60500,"education,culture",205,„Pożycz i graj - nauka i wypożyczalnia instrumentów muzycznych dla mieszkańców Rembertowa,"children,youth,adults,seniors",0
26,1115,40000,"culture,public space",199,Kino plenerowe na Wygodzie,"children,youth,adults,seniors",0
27,1255,33000,"education,culture,health",195,Warsztaty kulinarne na Nowym Rembertowie,"children,youth",0
28,1071,12500,"education,culture,public space",192,Zakup oświetlenia do sceny plenerowej,"children,youth,adults,seniors,people with disabilities",0
29,2079,53500,"education,culture",185,Pracownia patchworku w Domu Kultury „Rembertów,"children,youth,adults,seniors,people with disabilities",0
30,346,51600,sport,176,Doposażenie siłowni plenerowej przy ul. Traczy,"children,youth,adults,seniors,people with disabilities",0
31,326,89000,"public transit and roads,culture,public space",172,Główne ulice Nowego Rembertowa we flagach,"children,adults",0
32,1601,6500,"education,culture",164,Warsztaty gitarowe,"children,youth,adults",0
33,1080,5400,"education,culture",152,Warsztaty bębniarskie dla dzieci w Domu Kultury „Wygoda,"children,youth",0
34,1126,19311,"education,culture,public space",147,Altanka wypoczynkowa dla mieszkańców na Wygodzie.,"youth,adults,seniors,people with disabilities,children",0
35,1134,51000,"education,culture,public space",139,Cykl wydarzeń plenerowych na Wygodzie,"children,youth,adults,seniors,people with disabilities",0
36,1639,98000,"sport,health",138,Siłownia Plenerowa na Wygodzie,"youth,adults,seniors",0
37,1187,36100,"culture,public space",129,Potańcówki wielopokoleniowe na Wygodzie,"children,youth,adults,seniors",0
38,1586,11000,"education,culture",126,Plenerowa Biblioteczka na Wygodzie,"children,youth,adults,seniors",0
39,380,10000,culture,126,Stroje dla Zespołu Tanecznego „Rasowianki,"adults,seniors",0
40,1111,7000,"education,culture,public space",115,Tablica informacyjna przy Domu Kultury „Wygoda,"children,youth,adults,seniors,people with disabilities",0
41,325,68000,"public transit and roads,culture,public space",86,Główne ulice Wygody we flagach,"children,adults",0
