0,project_id,cost,category,votes,name,target,selected
1,244,199000,"public transit and roads,public space,sport",2954,Drzewa i krzewy wzdłuż al. KEN,"children,youth,adults",1
2,1752,12750,"education,environmental protection,public space",2845,Uratujmy wróble i inne ptaki - 150 nowych budek dla ptaków,"children,youth,adults,seniors,people with disabilities",1
3,1881,238445,"environmental protection,public space,urban greenery",2783,Zielone skwery na Ursynowie,"children,youth,adults,seniors,people with disabilities",1
4,651,996000,public transit and roads,2556,Doświetlenie przejść dla pieszych na Ursynowie,"children,youth,adults,seniors,people with disabilities",1
5,128,455000,"public transit and roads,sport",2528,Przebudowa drogi rowerowej wzdłuż al. KEN,"children,youth,adults,seniors,people with disabilities",1
6,1648,90000,"public transit and roads,public space",2312,Ursynów bez barier - zlikwidujmy wysokie krawężniki,"children,youth,adults,seniors,people with disabilities",1
7,1736,324780,"public transit and roads,environmental protection,public space",2161,Posadźmy drzewa i krzewy przy ul. Rosoła i ul. Relaksowej- kompleksowo,"children,youth,adults,seniors,people with disabilities",1
8,1916,69296,"public space,sport,urban greenery",2101,Kurtyny wodne w parkach - otwartych przestrzeniach na Ursynowie,"children,youth,adults,seniors,people with disabilities",1
9,915,822500,"public transit and roads,sport",2021,Modernizacja drogi rowerowej wzdłuż ul. Belgradzkiej na odcinku od al. KEN do ul. Rosoła,"children,youth,adults,seniors,people with disabilities",1
10,1844,40000,"environmental protection,public space,urban greenery",2000,Ratujmy drzewa poprzez zakup worków nawadniających - podlewających drzewa,"children,youth,adults,seniors,people with disabilities",1
11,745,35000,"environmental protection,public space,urban greenery",1932,"Uczta dla ptaków, czyli nasadzenia jarzębin,grusz i kalin, przy ulicy Jeżewskiego","children,youth,adults,seniors,people with disabilities",1
12,243,227900,"environmental protection,public space,urban greenery",1908,Łączymy parki: Park Jana Pawła II - Olkówek - Park Romana Kozłowskiego,"children,youth,adults,seniors,people with disabilities",1
13,843,100000,"environmental protection,public space,urban greenery",1837,Stworzenie na Ursynowie sztucznych miejsc lęgowych dla jaskółek oknówek,"children,youth,adults,seniors",1
14,1497,765000,"public space,urban greenery",1772,Zielona Oś Ursynowa - nowy park,"children,adults,seniors",1
15,286,40000,culture,1750,Kino pod chmurką – pokazy filmowe przed Dzielnicowym Ośrodkiem Kultury Ursynów,"youth,adults",1
16,276,184500,"education,culture",1680,Muzyczne niedziele na Ursynowie - koncerty fortepianowe muzyki klasycznej,"children,youth,adults,seniors,people with disabilities",1
17,1363,30000,"environmental protection,public space,urban greenery",1660,Zazieleńmy al. Komisji Edukacji Narodowej – reprezentatywną ulicę Ursynowa,"children,youth,adults,seniors,people with disabilities",1
18,1943,125000,environmental protection,1648,Kolejne 3000 krzewów i pnączy rozdanych do posadzenia mieszkańcom na terenie Dzielnicy Ursynów,seniors,1
19,269,97500,"environmental protection,urban greenery",1611,Piękne kwiaty i krzewy na ulicach Ursynowa - dotleniające powietrze oraz chroniące przed komarami i kleszczami,"children,youth,adults,seniors,people with disabilities",1
20,2101,530400,"environmental protection,welfare",1601,Poidełka z wodą na zewnątrz dla ludzi i zwierząt,"children,youth,adults,seniors,people with disabilities",0
21,1411,770000,"public space,sport,urban greenery",1547,"Hirszfelda 1 okolice Areny Ursynów, skwer Górka Rogala dla wszystkich - teren rekreacyjny","seniors,people with disabilities,families with children",0
