0,project_id,cost,category,votes,name,target,selected
1,1435,380000,"public transit and roads,environmental protection,public space",1116,Zielony Plac Wileński dla Pragi,"children,youth,adults,seniors,people with disabilities",1
2,1278,49900,"education,environmental protection,public space",1073,33 nowe drzewa na Pradze,"children,youth,adults,seniors,people with disabilities",1
3,7,26000,"environmental protection,public space,urban greenery",829,Zielone ściany dla Pragi 3,"children,youth,adults,seniors,people with disabilities",1
4,12,351400,"environmental protection,public space,urban greenery",824,Więcej drzew dla Pragi,"children,youth,adults,seniors,people with disabilities",1
5,9,95800,"environmental protection,public space,urban greenery",775,Mniej betonu dla Pragi,"children,youth,adults,seniors,people with disabilities",1
6,1294,20000,"environmental protection,public space,urban greenery",690,Zielone ściany i mniej betonu na Pradze,"children,youth,adults,seniors,people with disabilities",1
7,179,483000,"public transit and roads,public space,urban greenery",674,"Bezpieczny i przyjazny Pl. Hallera - remont ciągów pieszych (m.in. schodów, podjazdów, barierek, pochylni itp.) z rekultywacją trawników","children,youth,adults,seniors,people with disabilities",1
8,1259,50000,"public transit and roads,public space",639,Jaśniej i bezpieczniej na Pradze,"children,youth,adults,seniors,people with disabilities",1
9,23,486590,"environmental protection,public space,urban greenery",583,Zielone skwery dla Pragi,"children,youth,adults,seniors,people with disabilities",1
10,24,106850,"public transit and roads,environmental protection,public space",554,Chrońmy zieleń dla Pragi,"children,youth,adults,seniors,people with disabilities",1
11,930,486530,"environmental protection,public space,urban greenery",554,Nowa zieleń przed praskimi budynkami,"seniors,people with disabilities",0
12,2101,95550,"education,environmental protection,public space",538,Żywe płoty wokół placówek oświatowych,"children,youth,adults,seniors,people with disabilities",1
13,21,486400,"environmental protection,public space,urban greenery",527,Parki kieszonkowe dla Pragi,"children,youth,adults,seniors,people with disabilities",0
14,1096,2000,"environmental protection,public space,urban greenery",520,Domki dla wiewiórek w Parku Praskim,"children,adults",1
15,1664,250000,"public space,sport,urban greenery",517,Park Trampolin w Jordanku. Kocham Pragę,"children,youth,adults,seniors",1
16,1808,464590,"public space,sport",513,Skatepark. Kocham Pragę,"children,youth,adults",0
17,1571,62115,"environmental protection,public space,urban greenery",476,Podlewamy drzewa dla Pragi,"children,youth,adults,seniors,people with disabilities",0
18,1646,84358,"public transit and roads,public space,urban greenery",476,Zielona Brzeska - finał. Kocham Pragę,"children,youth,adults,seniors,people with disabilities",0
19,1843,260000,"public space,urban greenery",475,Wodna mgiełka. Kocham Pragę,"children,youth,adults,seniors,people with disabilities",0
20,1159,486315,"environmental protection,welfare,public space",471,"Zieleń zamiast betonu, przy budynkach: Blaszana 2, Olszowa 8, ks. I. Kłopotowskiego 2, Panieńska 5 od podwórka","seniors,people with disabilities",0
21,1318,483900,"environmental protection,public space,sport",470,Zielony skwer,"children,youth,adults,seniors,people with disabilities",0
22,20,40000,"public transit and roads,public space,sport",468,Stojaki rowerowe dla Pragi,"children,youth,adults,seniors",0
23,18,485000,"public transit and roads,public space",445,Oświetlona Jagiellońska dla Pragi (odcinek Ratuszowa - Jagiellońska 64),"children,youth,adults,seniors,people with disabilities",0
24,16,486000,"environmental protection,public space,urban greenery",432,Zielone podwórka dla Pragi 2,"children,youth,adults,seniors,people with disabilities",0
25,14,219185,"environmental protection,public space,urban greenery",421,Przykryte śmietniki dla Pragi,"children,youth,adults,seniors,people with disabilities",0
26,1479,486590,education,419,Równe szanse praskich uczniów,"children,youth",0
27,1211,150000,"education,public space,sport",415,"Modernizacja boiska Szkoły Podstawowej nr 258, ul. Brechta","children,youth,adults,seniors",0
28,1815,10000,"education,environmental protection",409,"Dbamy o koty, likwidujemy szczury","children,youth,adults,seniors,people with disabilities",1
29,295,110000,"education,culture,environmental protection",406,"Jestem eko” – nie kupuję, wypożyczam z biblioteki – zakup nowości wydawniczych","children,youth,adults,seniors,people with disabilities",0
30,1665,40000,sport,403,Trasy biegowe dla Pragi,"youth,adults",0
31,1220,154800,"education,sport,health",400,Modernizacja sali gimnastycznej Szkoły Podstawowej nr 258 filia Namysłowska,"children,youth,adults,seniors",0
32,64,46500,"culture,public space",399,Neonowy napis promujący dzielnicę Praga-Północ,"children,youth,adults,seniors,people with disabilities",0
33,1770,60000,"education,culture,public space",395,"Wizualizacja powrotu do życia Bazaru Różyckiego z położeniem nacisku na tradycje, edukację, rozrywkę i handel","children,youth,adults,seniors,people with disabilities",0
34,922,191712,"education,environmental protection,public space",384,Zestaw pojemników do segregacji odpadów w przestrzeni publicznej,"children,youth,adults,seniors,people with disabilities",0
35,68,480000,"public transit and roads,public space,sport",375,Remont ciągu pieszo-rowerowego na al. Solidarności w stronę Targówka,"children,youth,adults,seniors",0
36,1698,50500,"environmental protection,public space,urban greenery",373,Park Praski bliżej ludzi. Kocham Pragę,"children,youth,adults,seniors,people with disabilities",0
37,2102,385000,"education,public space,sport",362,Modernizacja placu zabaw,"children,people with disabilities",0
38,284,109800,public space,341,Monitoring Miejski w nowych lokalizacjach,"children,youth,adults,seniors,people with disabilities",0
39,890,20000,"education,welfare,public space",338,Praskie wyprzedaże garażowe,"children,youth,adults,seniors,people with disabilities",1
40,10,450000,"culture,public space",329,Ratujmy mural Muchozol dla Pragi,"children,youth,adults,seniors,people with disabilities",0
41,787,150000,culture,327,Murale na Pradze,"children,youth,adults,seniors,people with disabilities",0
42,580,481860,"education,public transit and roads,environmental protection",313,Praski ekopark,"children,adults,seniors",0
43,2104,46500,,308,Napis oświetlony - Kocham Pragę - promocja dzielnicy,"children,youth,adults,seniors,people with disabilities",0
44,563,14940,"welfare,sport",305,Rehabilitacja dla Praskich seniorów,"adults,seniors,people with disabilities",0
45,398,15000,"education,environmental protection,public space",277,Zielone przedszkola dla Pragi,"children,youth,adults,seniors,people with disabilities",0
46,1454,71000,"education,sport",268,Boisko na Szmulkach - Don Pedro Arena,"children,youth,adults",0
47,885,23000,"education,culture,welfare",262,Fantomy szkoleniowe oraz nauka udzielania pierwszej pomocy,"children,youth,adults,people with disabilities",0
48,1253,60000,culture,256,Wyposażenie biblioteki przy Inżynierskiej,"children,youth,adults,seniors",0
49,1737,486590,"education,public space,urban greenery",254,Strażacki ogród do zabawy,children,0
50,910,27000,"education,sport",253,Boksuj na Pradze - darmowe treningi boksu dla mieszkańców,"children,youth,adults,seniors,people with disabilities",0
51,1683,28000,"education,sport",244,Zumba dla dorosłych- zabawa dla dzieci. Kocham Pragę,"children,youth,adults,seniors,people with disabilities",0
52,1363,29200,public space,244,Zadaszenie oraz powiększenie piaskownicy w Parku Praskim,"children,youth",0
53,1560,110000,"education,environmental protection,public space",243,Rewitalizacja psiego wybiegu,"children,youth,adults,seniors,people with disabilities",0
54,1545,80750,"public transit and roads,public space",237,Montaż podjazdu dla wózków na schodach prowadzących do lokali usytuowanych przy Pl. Hallera 5,"children,youth,adults,seniors",0
55,180,175000,"education,culture,public space",236,"Książkomat - wypożycz, zwróć książkę 24/7","children,youth,seniors,people with disabilities",0
56,923,369000,"education,welfare,public space",231,Podjazdy dla osób z niepełnosprawnością do szkół,"children,youth,people with disabilities",0
57,1330,32500,"education,culture,welfare",224,Zajęcia teatralne dla praskich seniorów,"adults,seniors,people with disabilities",0
58,15,20000,"education,environmental protection,public space",220,"Dla ptaków, dla psiaków, dla Pragi","children,youth,adults,seniors,people with disabilities",0
59,26,20000,"public transit and roads,public space",215,Pasy akustyczne na Kijowskiej dla Pragi,"children,youth,adults,seniors,people with disabilities",0
60,886,46000,"welfare,sport",209,Treningi piłki nożnej dla dzieci z niepełnosprawnością,"children,adults,people with disabilities",0
61,230,125000,"education,environmental protection,public space",199,Owieczkowy Plac Zabaw,"children,adults,seniors,people with disabilities",0
62,1593,181000,sport,199,Remont sali sportowej na praskim Orliku,"children,youth,adults,seniors",0
63,810,110500,education,190,"Porozmawiajmy po angielsku – kurs językowy dla dzieci, młodzieży i dorosłych","children,youth,adults",0
64,1525,46000,"environmental protection,public space,urban greenery",189,Pojemniki do segregacji odpadów na pl. Wileńskim,"children,youth,adults,seniors,people with disabilities",0
65,1437,110000,"culture,public space",187,Biblioteka przy Szanajcy w nowej odsłonie,"children,youth,adults,seniors,people with disabilities",0
66,1553,14000,"education,environmental protection,public space",183,Jak i czym - kampania dotycząca dokarmiania ptaków zimą - kontynuacja,"children,youth,adults,seniors",0
67,1095,150000,"culture,public space,sport",182,Nowoczesna siłownia plenerowa w VII Ogrodzie Jordanowskim,"children,youth,adults,seniors,people with disabilities",0
68,883,24000,"education,culture,sport",169,Nauka gry w szachy dla dzieci i młodzieży,"children,youth,people with disabilities",0
69,1833,13000,"education,environmental protection,urban greenery",158,Przewodnik po drzewach. Kocham Pragę,"children,youth,adults,seniors,people with disabilities",0
70,345,18700,sport,154,Rehabilitacja na basenie DOSiR,"youth,adults,seniors",0
71,1216,20000,"education,culture,sport",145,Nauka tańca dla dzieci i dorosłych w VII Ogrodzie Jordanowskim,"children,adults,people with disabilities",0
72,1247,14400,"education,culture",139,Nauka języków obcych w VII Ogrodzie Jordanowskim,"children,youth,people with disabilities",0
73,1425,14700,"education,culture,sport",135,Zajęcia z łucznictwa na Pradze-Północ,"youth,adults,seniors",0
74,764,5000,sport,134,Tai Chi na Kawęczyńskiej,"youth,adults,seniors,people with disabilities",1
75,881,7000,"education,culture",132,Lekcje ekonomii dla praskiej młodzieży,"youth,people with disabilities",0
76,378,55000,"education,culture,public space",127,Coolturalna Praga -spotkajmy się w bibliotece,"children,youth,adults,seniors,people with disabilities",0
